https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ADA
1652400000000,2022-05-13 00:00:00,ADA/USD,0.525175,0.54753265,0.52056472,0.54753265,4842.449231503974,8844.12871361
1652396400000,2022-05-12 23:00:00,ADA/USD,0.5132251,0.530541,0.5132251,0.52501789,7690.348438848604,14647.7836
1652392800000,2022-05-12 22:00:00,ADA/USD,0.50909826,0.51337968,0.50339052,0.51239887,6102.386065974022,11909.44481586
1652389200000,2022-05-12 21:00:00,ADA/USD,0.52326763,0.52326763,0.50069983,0.50887546,7043.513063877598,13841.32978996
1652385600000,2022-05-12 20:00:00,ADA/USD,0.53817194,0.54221551,0.52580917,0.52580917,6947.959481698173,13213.84235596
1652382000000,2022-05-12 19:00:00,ADA/USD,0.53223411,0.54189961,0.52570757,0.53904564,7245.340731649319,13441.05247127
1652378400000,2022-05-12 18:00:00,ADA/USD,0.54775659,0.55021317,0.52621162,0.52787116,7995.784936565405,15147.22823002
1652374800000,2022-05-12 17:00:00,ADA/USD,0.57147318,0.57149404,0.54499525,0.54693968,8728.50158812095,15958.80113895
1652371200000,2022-05-12 16:00:00,ADA/USD,0.53664251,0.5723672,0.53664251,0.57111235,9093.717155382188,15922.81650954
1652367600000,2022-05-12 15:00:00,ADA/USD,0.55607904,0.56160775,0.5388,0.5388,7847.496189456455,14564.76649862
1652364000000,2022-05-12 14:00:00,ADA/USD,0.51319783,0.5586896,0.51191382,0.55142935,9594.096389499238,17398.59583009
1652360400000,2022-05-12 13:00:00,ADA/USD,0.52793663,0.5293775,0.510376,0.51613209,7953.0801929722675,15409.00158518
1652356800000,2022-05-12 12:00:00,ADA/USD,0.52123036,0.52858975,0.50342139,0.52858975,7742.5843112983985,14647.62476249
1652353200000,2022-05-12 11:00:00,ADA/USD,0.52869471,0.55316,0.515,0.51967203,12251.63894591736,23575.71360136
1652349600000,2022-05-12 10:00:00,ADA/USD,0.49893444,0.53853059,0.49132241,0.5332623,15445.422434858,28964.0247114
1652346000000,2022-05-12 09:00:00,ADA/USD,0.50198376,0.51367388,0.49250257,0.49936728,11930.990719447904,23892.21560421
1652342400000,2022-05-12 08:00:00,ADA/USD,0.51210503,0.52156531,0.49225821,0.5002165,8613.034705532158,17218.61375131
1652338800000,2022-05-12 07:00:00,ADA/USD,0.48545545,0.53919038,0.46591314,0.5211632,12859.116339966033,24673.87632121
